Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,True_Family,Predicted_Family
Q9FLV9,2.A.16.5,2.A.16.5,0.99978405,2141,2.A.16,2.A.16
WP_057757662,2.A.16.6,2.A.16.6,0.99612635,2144,2.A.16,2.A.16
P0A2F9,2.A.24.1,2.A.24.2,0.81047505,2146,2.A.24,2.A.24
Q8VS41,2.A.24.2,2.A.24.2,0.902851,2151,2.A.24,2.A.24
Q48769,2.A.24.3,2.A.24.3,0.9999548,2153,2.A.24,2.A.24
W0WFC6,2.A.25.1,2.A.25.1,0.9996068,2162,2.A.25,2.A.25
P30143,2.A.25.1,2.A.25.1,0.9994935,2163,2.A.25,2.A.25
F2HK99,2.A.26.1,2.A.26.1,0.9995714,2172,2.A.26,2.A.26
P0AD99,2.A.26.1,2.A.26.1,0.9991027,2173,2.A.26,2.A.26
K0J2V5,2.A.27.1,2.A.27.1,0.955301,2178,2.A.27,2.A.27
M1QJN9,2.A.27.2,2.A.27.1,0.997015,2180,2.A.27,2.A.27
Q9S1X8,2.A.33.1,2.A.33.1,0.9998863,2186,2.A.33,2.A.33
XP_003075324,2.A.33.1,2.A.33.1,0.9999888,2187,2.A.33,2.A.33
Q9I2S5,2.A.34.1,2.A.34.1,0.9999814,2190,2.A.34,2.A.34
Q8A897,2.A.35.1,2.A.35.1,0.62635326,2198,2.A.35,2.A.35
T1YBZ7,2.A.35.1,2.A.35.1,0.59164417,2199,2.A.35,2.A.35
Q838P8,2.A.35.2,2.A.35.2,0.7758225,2203,2.A.35,2.A.35
P42312,2.A.41.1,2.A.41.1,0.8959797,2206,2.A.41,2.A.41
Q9KPL5,2.A.41.2,2.A.41.1,0.88945884,2217,2.A.41,2.A.41
A1Z7N3,2.A.41.2,2.A.41.2,0.98811114,2218,2.A.41,2.A.41
O00337,2.A.41.2,2.A.41.2,0.9888787,2219,2.A.41,2.A.41
F0LJG4,2.A.42.1,2.A.42.1,0.75535196,2226,2.A.42,2.A.42
AKM78056,2.A.42.1,2.A.42.1,0.9925527,2227,2.A.42,2.A.42
P63340,2.A.42.2,2.A.42.1,0.7602962,2232,2.A.42,2.A.42
WP_078436298,2.A.45.1,2.A.45.2,0.53435856,2234,2.A.45,2.A.45
XP_015614851,2.A.45.2,2.A.45.2,0.77699304,2241,2.A.45,2.A.45
UYL04267,2.A.45.2,2.A.45.2,0.62674004,2242,2.A.45,2.A.45
A1SPN6,2.A.45.3,2.A.45.2,0.7341711,2244,2.A.45,2.A.45
P76103,2.A.46.1,2.A.46.1,0.9998167,2253,2.A.46,2.A.46
Q88I34,2.A.46.1,1.A.46.1,0.054520015,2254,2.A.46,1.A.46
7TAK_A,2.A.46.1,2.A.46.1,0.9998041,2255,2.A.46,2.A.46
A8BIM9,2.A.48.1,2.A.48.1,0.9999492,2261,2.A.48,2.A.48
O45166,2.A.48.1,2.A.48.1,0.9998938,2262,2.A.48,2.A.48
Q7S3L8,2.A.52.1,2.A.52.1,0.86712587,2270,2.A.52,2.A.52
R1EDF9,2.A.52.1,2.A.52.2,0.76061547,2271,2.A.52,2.A.52
C7PI41,2.A.52.2,1.A.46.1,0.05591322,2276,2.A.52,1.A.46
Q7NN80,2.A.52.2,1.A.46.1,0.053282924,2277,2.A.52,1.A.46
SFO07861,2.A.58.1,2.A.58.2,0.92719287,2285,2.A.58,2.A.58
R4VUJ8,2.A.58.1,2.A.58.1,0.63040096,2286,2.A.58,2.A.58
Q0W3W9,2.A.58.2,2.A.58.2,0.7261222,2292,2.A.58,2.A.58
RLG13389,2.A.58.2,2.A.58.2,0.6236164,2293,2.A.58,2.A.58
A5KHL1,2.A.61.1,1.A.46.1,0.055249427,2297,2.A.61,1.A.46
C0QDE6,2.A.61.2,2.A.61.2,0.9998907,2301,2.A.61,2.A.61
A5F120,2.A.62.1,2.A.62.1,0.9998487,2307,2.A.62,2.A.62
WP_020086767,2.A.62.1,2.A.62.1,0.99992037,2308,2.A.62,2.A.62
Q183S2,2.A.68.1,2.A.68.1,0.99977785,2313,2.A.68,2.A.68
A8WCI8,2.A.71.1,2.A.71.1,0.95570666,2318,2.A.71,2.A.71
V5B8W0,2.A.71.1,2.A.71.1,0.9634238,2319,2.A.71,2.A.71
Q9XIQ7,2.A.71.2,2.A.71.1,0.9187086,2325,2.A.71,2.A.71
Q8IBB7,2.A.71.2,2.A.71.2,0.99915636,2326,2.A.71,2.A.71
Q9CHU5,2.A.72.1,2.A.72.1,0.9999671,2329,2.A.72,2.A.72
Q0G848,2.A.72.2,2.A.72.3,0.61791337,2331,2.A.72,2.A.72
Q9FE38,2.A.72.3,2.A.72.3,0.9920006,2341,2.A.72,2.A.72
Q19A13,2.A.72.3,2.A.72.3,0.99469286,2342,2.A.72,2.A.72
O49423,2.A.72.3,2.A.72.3,0.997391,2343,2.A.72,2.A.72
F8D4C5,2.A.73.1,2.A.73.1,0.9999645,2346,2.A.73,2.A.73
M7BP63,2.A.74.1,2.A.74.2,0.87734824,2352,2.A.74,2.A.74
XP_015987553,2.A.74.1,2.A.74.1,0.62974244,2353,2.A.74,2.A.74
C3XYE5,2.A.74.2,2.A.74.1,0.98392236,2361,2.A.74,2.A.74
E2B9N7,2.A.74.2,2.A.74.2,0.8709124,2362,2.A.74,2.A.74
B5U2Z3,2.A.75.1,2.A.75.1,0.9999914,2366,2.A.75,2.A.75
D5FKJ1,2.A.76.1,2.A.76.1,0.98671883,2377,2.A.76,2.A.76
AKM77924,2.A.76.1,2.A.76.1,0.9996612,2378,2.A.76,2.A.76
KKK40645,2.A.76.1,2.A.76.3,0.9997092,2379,2.A.76,2.A.76
V9RYY0,2.A.76.2,2.A.76.1,0.9947574,2382,2.A.76,2.A.76
A3U6A7,2.A.76.3,2.A.76.3,0.9999974,2383,2.A.76,2.A.76
Q3IPU1,2.A.77.1,2.A.77.1,0.99976856,2388,2.A.77,2.A.77
Q8RFA1,2.A.8.1,2.A.8.1,0.99927634,2401,2.A.8,2.A.8
Q81E21,2.A.8.1,2.A.8.1,0.999624,2402,2.A.8,2.A.8
H7C6B2,2.A.8.1,2.A.8.1,0.99991393,2403,2.A.8,2.A.8
B7L824,2.A.81.1,2.A.81.2,0.68837345,2408,2.A.81,2.A.81
Q845W9,2.A.81.1,2.A.81.1,0.8238111,2409,2.A.81,2.A.81
A6LP55,2.A.81.2,2.A.81.2,0.6221549,2411,2.A.81,2.A.81
P73953,2.A.83.1,2.A.83.1,0.80861956,2412,2.A.83,2.A.83
A9DHE6,2.A.83.2,2.A.83.1,0.80908734,2413,2.A.83,2.A.83
Q8Y5W0,2.A.87.1,2.A.87.1,0.62262726,2417,2.A.87,2.A.87
F9LXW4,2.A.87.2,2.A.87.3,0.9997292,2419,2.A.87,2.A.87
A9NEB8,2.A.87.3,2.A.87.3,0.9912341,2422,2.A.87,2.A.87
Q14P12,2.A.87.4,2.A.87.5,0.32460594,2425,2.A.87,2.A.87
AFN04413,2.A.87.5,2.A.87.5,0.49888152,2428,2.A.87,2.A.87
Q54IJ2,2.A.92.1,2.A.92.1,0.99979764,2437,2.A.92,2.A.92
Q94AN2,2.A.92.1,2.A.92.1,0.99987936,2438,2.A.92,2.A.92
Q9UBH6,2.A.94.1,2.A.94.1,0.99994266,2444,2.A.94,2.A.94
P16151,2.A.94.1,2.A.94.1,0.9998155,2445,2.A.94,2.A.94
P25743,2.A.95.1,1.A.46.1,0.053603936,2452,2.A.95,1.A.46
B8HLY6,2.A.95.1,2.A.95.1,0.99996066,2453,2.A.95,2.A.95
KAG2233815,2.A.96.1,2.A.96.2,0.5426279,2465,2.A.96,2.A.96
WP_084729956,2.A.96.1,2.A.96.2,0.6316376,2466,2.A.96,2.A.96
NLT21186,2.A.96.1,2.A.96.1,0.95167804,2467,2.A.96,2.A.96
KXS96282,2.A.96.2,2.A.96.1,0.67201793,2470,2.A.96,2.A.96
Q6P1Q0,2.A.97.1,2.A.97.1,0.9999579,2477,2.A.97,2.A.97
Q8I1R5,2.A.97.1,2.A.97.1,0.9999708,2478,2.A.97,2.A.97
WP_162301253,2.A.99.1,2.A.99.1,0.9998801,2485,2.A.99,2.A.99
WP_149777770,2.A.99.1,2.A.99.1,0.9999467,2486,2.A.99,2.A.99
Q9UP52,2.B.93.1,2.B.93.1,0.8279504,2488,2.B.93,2.B.93
A0BM91,2.D.1.1,2.D.1.1,0.99992955,2496,2.D.1,2.D.1
Q9VC05,2.D.1.1,2.D.1.1,0.9996997,2497,2.D.1,2.D.1
C0SP86,3.A.12.1,3.A.12.1,0.99371666,2502,3.A.12,3.A.12
P22409,3.A.12.2,3.A.12.2,0.99836296,2503,3.A.12,3.A.12
Q3LAJ2,3.A.12.3,3.A.12.2,0.9859364,2505,3.A.12,3.A.12
YP_008130281,3.A.13.1,3.A.13.1,0.99995637,2508,3.A.13,3.A.13
Q9Y276,3.A.28.1,3.A.28.1,0.9999311,2513,3.A.28,3.A.28
KOO28456,3.E.3.1,3.E.3.1,0.9998908,2522,3.E.3,3.E.3
WP_055898914,3.E.3.1,3.E.3.1,0.99969447,2523,3.E.3,3.E.3
P50416,4.C.2.1,4.C.2.1,0.99999547,2526,4.C.2,4.C.2
S7VV85,4.E.1.1,4.E.1.1,0.9999852,2531,4.E.1,4.E.1
Q5CWX6,4.E.1.1,4.E.1.1,0.99986637,2532,4.E.1,4.E.1
K0WKG7,4.F.1.1,4.F.1.3,0.954169,2540,4.F.1,4.F.1
TAJ02730,4.F.1.1,4.F.1.1,0.5171824,2541,4.F.1,4.F.1
G5SQC7,4.F.1.2,4.F.1.1,0.8455239,2543,4.F.1,4.F.1
OIO15329,4.F.1.3,4.F.1.1,0.79701203,2548,4.F.1,4.F.1
WP_051595943,4.H.1.1,4.H.1.1,0.9986541,2555,4.H.1,4.H.1
RIJ99294,4.H.1.1,4.H.1.1,0.9986313,2556,4.H.1,4.H.1
VDG77260,4.H.1.2,4.H.1.2,0.9999043,2560,4.H.1,4.H.1
Q9KV73,5.B.10.1,5.B.10.1,0.99999464,2561,5.B.10,5.B.10
RWX50390,5.B.15.1,5.B.15.1,0.99999785,2562,5.B.15,5.B.15
Q5D8X4,5.B.2.1,5.B.2.1,0.99793553,2569,5.B.2,5.B.2
Q9SWS1,5.B.2.1,5.B.2.1,0.7028703,2570,5.B.2,5.B.2
A8IUR9,5.B.2.2,5.B.2.3,0.62657505,2575,5.B.2,5.B.2
Q9SV71,5.B.2.2,5.B.2.3,0.5776247,2576,5.B.2,5.B.2
KHN35905,5.B.2.3,5.B.2.2,0.40707985,2581,5.B.2,5.B.2
PIY59600,5.B.6.1,5.B.6.1,0.9978064,2586,5.B.6,5.B.6
Q8XB73,5.B.7.1,5.B.7.1,0.9933062,2587,5.B.7,5.B.7
Q7NNK2,5.B.7.2,5.B.7.2,0.49730647,2588,5.B.7,5.B.7
F8L6Z5,5.B.7.3,5.B.7.3,0.9373358,2589,5.B.7,5.B.7
D7C9K8,5.B.7.4,5.B.7.2,0.49269667,2590,5.B.7,5.B.7
P37683,8.A.1.1,8.A.1.1,0.52050406,2594,8.A.1,8.A.1
M4VE83,8.A.1.2,8.A.1.4,0.4027122,2596,8.A.1,8.A.1
OUT43425,8.A.1.3,8.A.1.2,0.81814027,2602,8.A.1,8.A.1
BAB77003,8.A.1.3,8.A.1.3,0.77718943,2603,8.A.1,8.A.1
P36498,8.A.1.4,8.A.1.3,0.6465897,2605,8.A.1,8.A.1
Q9XDR9,8.A.1.5,8.A.1.5,0.9999963,2606,8.A.1,8.A.1
Q7UZ72,8.A.1.6,8.A.1.6,0.99219996,2610,8.A.1,8.A.1
P46482,8.A.1.7,8.A.1.7,0.69191974,2611,8.A.1,8.A.1
Q6FHJ6,8.A.10.1,8.A.10.1,0.95073694,2613,8.A.10,8.A.10
Q9D808,8.A.10.2,8.A.10.2,0.6733205,2614,8.A.10,8.A.10
Q9Y6H6,8.A.10.3,8.A.10.3,0.59120995,2617,8.A.10,8.A.10
Q9WTW3,8.A.10.4,8.A.10.4,0.95978695,2618,8.A.10,8.A.10
XP_020894714,8.A.101.1,8.A.101.1,0.99978334,2622,8.A.101,8.A.101
Q16799,8.A.102.1,8.A.102.1,0.97598934,2631,8.A.102,8.A.102
V8NAX5,8.A.102.1,8.A.102.1,0.98457277,2632,8.A.102,8.A.102
CUV07185,8.A.102.2,8.A.102.2,0.9850486,2637,8.A.102,8.A.102
PJF17748,8.A.103.1,8.A.103.1,0.9986216,2649,8.A.103,8.A.103
XP_010699644,8.A.103.1,8.A.103.1,0.9997527,2650,8.A.103,8.A.103
Q22DV9,8.A.103.1,8.A.103.1,0.9974438,2651,8.A.103,8.A.103
P53355,8.A.104.1,1.A.46.1,0.05017367,2664,8.A.104,1.A.46
Q9BXM7,8.A.104.1,1.B.16.1,0.05637814,2665,8.A.104,1.B.16
NP_001257414,8.A.104.1,1.B.16.1,0.055084947,2666,8.A.104,1.B.16
Q6MZM0,8.A.105.1,8.A.105.1,0.99948114,2669,8.A.105,8.A.105
Q9H902,8.A.108.1,8.A.108.1,0.9998287,2677,8.A.108,8.A.108
Q96HR9,8.A.108.1,8.A.108.1,0.99994266,2678,8.A.108,8.A.108
WP_130079951,8.A.11.1,8.A.11.1,0.999992,2681,8.A.11,8.A.11
CBJ48530,8.A.111.1,8.A.111.1,0.99959236,2689,8.A.111,8.A.111
XP_022310796,8.A.111.1,8.A.111.1,0.6695471,2690,8.A.111,8.A.111
Q8N682,8.A.113.1,8.A.113.1,0.9999478,2698,8.A.113,8.A.113
Q6UX65,8.A.113.1,8.A.113.1,0.9999223,2699,8.A.113,8.A.113
XP_026683869,8.A.115.1,8.A.115.1,0.27673313,2706,8.A.115,8.A.115
RNA30858,8.A.115.1,8.A.115.7,0.2552919,2707,8.A.115,8.A.115
XP_005822896,8.A.115.2,8.A.115.7,0.2627595,2710,8.A.115,8.A.115
WP_018930613,8.A.115.3,8.A.115.3,0.23727065,2711,8.A.115,8.A.115
OWB63767,8.A.115.4,8.A.115.4,0.55061775,2712,8.A.115,8.A.115
KAI8905181,8.A.115.5,8.A.115.1,0.37970972,2714,8.A.115,8.A.115
XP_001748139,8.A.115.6,8.A.115.1,0.26918703,2717,8.A.115,8.A.115
TPX40645,8.A.115.7,8.A.115.7,0.3701384,2718,8.A.115,8.A.115
WBW72430,8.A.115.8,8.A.115.1,0.26739702,2719,8.A.115,8.A.115
Q8NEW7,8.A.116.1,8.A.116.1,0.87409604,2721,8.A.116,8.A.116
Q9XXE7,8.A.116.2,8.A.116.2,0.99992454,2722,8.A.116,8.A.116
Q9VIM4,8.A.116.3,8.A.116.3,0.9795933,2723,8.A.116,8.A.116
Q9XTG1,8.A.117.1,8.A.117.1,0.999824,2728,8.A.117,8.A.117
Q9NZ94,8.A.117.1,8.A.117.1,0.999889,2729,8.A.117,8.A.117
GAV02799,8.A.118.1,8.A.118.1,0.9998441,2738,8.A.118,8.A.118
XP_019853507,8.A.118.1,8.A.118.1,0.9998747,2739,8.A.118,8.A.118
P37249,8.A.12.1,8.A.12.1,0.99999607,2741,8.A.12,8.A.12
WP_014802473,8.A.120.1,8.A.120.1,0.99995244,2746,8.A.120,8.A.120
NP_001154233,8.A.120.1,1.B.16.1,0.051492967,2747,8.A.120,1.B.16
Q9W145,8.A.120.2,8.A.120.2,0.9978011,2749,8.A.120,8.A.120
Q96DR4,8.A.120.3,8.A.120.3,0.9999994,2750,8.A.120,8.A.120
Q20687,8.A.121.1,8.A.121.1,0.99992406,2755,8.A.121,8.A.121
XP_004672840,8.A.122.1,8.A.122.1,0.9987148,2758,8.A.122,8.A.122
XP_022318076,8.A.122.2,8.A.122.1,0.97955006,2761,8.A.122,8.A.122
XP_001747355,8.A.123.1,8.A.123.1,0.9984334,2767,8.A.123,8.A.123
Q9NQ34,8.A.123.1,8.A.123.1,0.99971014,2768,8.A.123,8.A.123
WP_031585819,8.A.123.2,8.A.123.2,0.99998903,2769,8.A.123,8.A.123
P57088,8.A.124.1,8.A.124.1,0.9974366,2772,8.A.124,8.A.124
Q96KA5,8.A.125.1,8.A.125.1,0.99990475,2777,8.A.125,8.A.125
XP_027796271,8.A.126.1,8.A.126.1,0.9995859,2780,8.A.126,8.A.126
XP_020477270,8.A.127.1,8.A.127.2,0.74764496,2784,8.A.127,8.A.127
XP_030900971,8.A.127.2,8.A.127.2,0.67689365,2788,8.A.127,8.A.127
XP_013349430,8.A.129.1,8.A.129.1,0.99991965,2794,8.A.129,8.A.129
GBG75892,8.A.129.1,8.A.129.1,0.9999547,2795,8.A.129,8.A.129
O42668,8.A.13.1,8.A.13.1,1.0,2796,8.A.13,8.A.13
P83748,8.A.131.1,8.A.131.1,0.99840385,2809,8.A.131,8.A.131
P00738,8.A.131.1,8.A.131.1,0.99971646,2810,8.A.131,8.A.131
B0FXM1,8.A.131.1,8.A.131.1,0.99868816,2811,8.A.131,8.A.131
Q9BUZ4,8.A.133.1,8.A.133.1,0.9956741,2822,8.A.133,8.A.133
WGW18136,8.A.133.1,1.B.16.1,0.059293706,2823,8.A.133,1.B.16
Q9C039,8.A.133.1,1.A.46.1,0.05562625,2824,8.A.133,1.A.46
ORZ11951,8.A.134.1,8.A.134.1,0.9999449,2829,8.A.134,8.A.134
Q6IIF2,8.A.135.1,8.A.135.1,0.6131591,2832,8.A.135,8.A.135
MPD02914,8.A.135.2,8.A.135.2,0.91302055,2837,8.A.135,8.A.135
Q96B67,8.A.136.1,8.A.136.1,0.9995486,2848,8.A.136,8.A.136
Q9H3M7,8.A.136.1,8.A.136.1,0.99954516,2849,8.A.136,8.A.136
Q20232,8.A.136.1,8.A.136.1,0.7546289,2850,8.A.136,8.A.136
XP_016921581,8.A.139.1,8.A.139.1,0.80978733,2852,8.A.139,8.A.139
SMO36342,8.A.139.2,8.A.139.1,0.9525138,2854,8.A.139,8.A.139
Q9NPA1,8.A.14.1,8.A.14.1,0.99998343,2858,8.A.14,8.A.14
XP_004208589,8.A.140.1,8.A.140.1,0.6136838,2862,8.A.140,8.A.140
KAF5277533,8.A.140.2,8.A.140.2,0.7936835,2864,8.A.140,8.A.140
R1ELF4,8.A.141.1,8.A.141.1,0.9999207,2869,8.A.141,8.A.141
Q6IEE7,8.A.143.1,8.A.143.1,0.99999726,2874,8.A.143,8.A.143
TNV81984,8.A.144.1,8.A.144.1,0.99986005,2878,8.A.144,8.A.144
WP_144051564,8.A.144.2,8.A.144.2,0.9999354,2879,8.A.144,8.A.144
KAF2077471,8.A.145.1,8.A.145.1,0.9999901,2884,8.A.145,8.A.145
P30041,8.A.147.1,8.A.147.1,0.9999548,2887,8.A.147,8.A.147
B8B381,8.A.15.1,1.B.16.1,0.060325477,2891,8.A.15,1.B.16
WP_008488490,8.A.150.1,8.A.150.1,0.9999362,2895,8.A.150,8.A.150
O43865,8.A.151.1,8.A.151.1,0.9999993,2896,8.A.151,8.A.151
WP_181340520,8.A.153.1,8.A.153.1,0.99984646,2901,8.A.153,8.A.153
MBC7395593,8.A.153.2,8.A.153.2,0.9999448,2902,8.A.153,8.A.153
XP_034038246,8.A.154.1,8.A.154.1,0.99861693,2907,8.A.154,8.A.154
WP_082825104,8.A.155.1,8.A.155.1,0.9999453,2912,8.A.155,8.A.155
KAF5827728,8.A.155.1,8.A.155.1,0.9998493,2913,8.A.155,8.A.155
XP_315963,8.A.157.1,8.A.157.1,0.60226,2917,8.A.157,8.A.157
XP_018009461,8.A.157.2,8.A.157.1,0.5964832,2918,8.A.157,8.A.157
P90489,8.A.159.1,8.A.159.3,0.6517565,2926,8.A.159,8.A.159
O60337,8.A.159.1,8.A.159.1,0.5453317,2927,8.A.159,8.A.159
XP_032802017,8.A.159.2,1.B.16.1,0.05744272,2929,8.A.159,1.B.16
PWZ10394,8.A.159.3,8.A.159.3,0.7546932,2931,8.A.159,8.A.159
Q96GS6,8.A.161.1,8.A.161.1,0.9999975,2932,8.A.161,8.A.161
Q16790,8.A.164.1,8.A.164.1,0.99998283,2933,8.A.164,8.A.164
VDL89025,8.A.166.1,8.A.166.1,0.9995316,2943,8.A.166,8.A.166
CAF2143533,8.A.166.1,8.A.166.1,0.9998559,2944,8.A.166,8.A.166
XP_028411903,8.A.166.1,8.A.166.1,0.99973005,2945,8.A.166,8.A.166
XP_011530207,8.A.168.1,8.A.168.1,0.9999653,2949,8.A.168,8.A.168
GAW06118,8.A.169.1,8.A.169.1,0.99982196,2958,8.A.169,8.A.169
SSD60863,8.A.169.1,8.A.169.1,0.99958473,2959,8.A.169,8.A.169
XP_001229202,8.A.169.1,8.A.169.1,0.9993394,2960,8.A.169,8.A.169
Q07699,8.A.17.1,8.A.17.3,0.9959059,2964,8.A.17,8.A.17
P25189,8.A.17.2,8.A.17.1,0.33991337,2968,8.A.17,8.A.17
AAO89003,8.A.17.3,8.A.17.4,0.4372913,2973,8.A.17,8.A.17
Q15116,8.A.17.4,8.A.17.4,0.5182448,2974,8.A.17,8.A.17
Q9NXB0,8.A.170.1,8.A.170.1,0.99999976,2975,8.A.170,8.A.170
CAF0816190,8.A.171.1,8.A.171.1,0.9999553,2979,8.A.171,8.A.171
XP_036123603,8.A.172.1,1.B.16.1,0.050086983,2984,8.A.172,1.B.16
HHM12341,8.A.172.2,8.A.172.2,0.99812204,2989,8.A.172,8.A.172
WP_165159837,8.A.172.2,8.A.172.2,0.99918205,2990,8.A.172,8.A.172
Q9H4B7,8.A.173.1,8.A.173.1,0.9999796,2992,8.A.173,8.A.173
HFO91905,8.A.174.1,8.A.174.1,0.9999534,2997,8.A.174,8.A.174
MBT5252923,8.A.174.1,8.A.174.1,0.99992085,2998,8.A.174,8.A.174
KAF4354721,8.A.175.1,8.A.175.2,0.82372814,3000,8.A.175,8.A.175
XP_020163427,8.A.175.2,8.A.175.2,0.94552,3005,8.A.175,8.A.175
WP_054576892,8.A.176.1,8.A.176.1,0.9999094,3009,8.A.176,8.A.176
UQL51144,8.A.177.1,8.A.177.1,0.99984276,3017,8.A.177,8.A.177
P50591,8.A.177.1,8.A.177.1,0.9998902,3018,8.A.177,8.A.177
KAG6546873,8.A.178.1,8.A.178.1,0.9997718,3025,8.A.178,8.A.178
XP_013762242,8.A.178.1,1.C.132.1,0.99984264,3026,8.A.178,1.C.132
Q9NY47,8.A.18.1,8.A.18.1,0.7216571,3028,8.A.18,8.A.18
Q5VU97,8.A.18.2,8.A.18.1,0.6250263,3030,8.A.18,8.A.18
Q7Z3S7,8.A.18.3,8.A.18.1,0.7191252,3032,8.A.18,8.A.18
WP_165133333,8.A.180.1,8.A.180.1,0.9920167,3035,8.A.180,8.A.180
VZI44309,8.A.181.1,8.A.181.1,0.99999595,3039,8.A.181,8.A.181
KAH8130706,8.A.182.1,8.A.182.1,0.9999366,3042,8.A.182,8.A.182
PSC71052,8.A.183.1,8.A.183.1,0.9999782,3047,8.A.183,8.A.183
ETW46879,8.A.183.1,8.A.183.1,0.9998103,3048,8.A.183,8.A.183
XP_020432384,8.A.185.1,8.A.185.1,0.99981123,3054,8.A.185,8.A.185
L0R6Q1,8.A.185.1,8.A.185.1,0.9999125,3055,8.A.185,8.A.185
O00592,8.A.187.1,8.A.187.1,0.99999964,3056,8.A.187,8.A.187
XP_001748040,8.A.188.1,8.A.188.1,0.9711618,3065,8.A.188,8.A.188
OMJ82451,8.A.188.1,8.A.188.1,0.9999622,3066,8.A.188,8.A.188
THD25096,8.A.189.1,8.A.189.1,0.999959,3070,8.A.189,8.A.189
KJE94133,8.A.189.2,8.A.189.2,0.9999999,3071,8.A.189,8.A.189
Q4V5U6,8.A.19.1,8.A.19.1,0.9936644,3076,8.A.19,8.A.19
QID84842,8.A.190.1,8.A.190.1,0.9999411,3080,8.A.190,8.A.190
RMZ54818,8.A.191.1,8.A.191.1,0.99979836,3088,8.A.191,8.A.191
PXF60217,8.A.191.1,8.A.191.1,0.99951565,3089,8.A.191,8.A.191
WP_224341048,8.A.192.1,8.A.192.1,0.9996834,3094,8.A.192,8.A.192
P25491,8.A.192.1,8.A.192.1,0.9997347,3095,8.A.192,8.A.192
F4IVL6,8.A.192.2,8.A.192.2,0.9993948,3099,8.A.192,8.A.192
KAG8010605,8.A.193.1,8.A.193.1,0.9999628,3103,8.A.193,8.A.193
XP_029997346,8.A.194.1,1.B.16.1,0.06077787,3110,8.A.194,1.B.16
KAG2487039,8.A.194.1,8.A.194.1,0.9999753,3111,8.A.194,8.A.194
XP_031756194,8.A.196.1,8.A.196.1,0.9995493,3116,8.A.196,8.A.196
CDW53771,8.A.197.1,8.A.197.1,0.9997168,3120,8.A.197,8.A.197
P0AA95,8.A.2.1,8.A.2.1,0.9999958,3123,8.A.2,8.A.2
GBF99282,8.A.20.1,8.A.20.1,0.62274575,3126,8.A.20,8.A.20
KAF5839021,8.A.20.2,8.A.20.1,0.57087255,3128,8.A.20,8.A.20
XP_005646384,8.A.20.3,8.A.20.1,0.74962604,3130,8.A.20,8.A.20
TMD93600,8.A.201.1,8.A.201.1,0.6326662,3135,8.A.201,8.A.201
MBS4889330,8.A.201.2,8.A.201.2,0.9776689,3140,8.A.201,8.A.201
TWW75268,8.A.202.1,8.A.202.1,0.99997735,3145,8.A.202,8.A.202
Q6PD74,8.A.203.1,8.A.203.1,0.99999845,3146,8.A.203,8.A.203
NP_001336488,8.A.204.1,8.A.204.1,0.9997011,3152,8.A.204,8.A.204
P32926,8.A.204.1,8.A.204.1,0.99936026,3153,8.A.204,8.A.204
OLP90965,8.A.205.1,8.A.205.1,0.9999739,3159,8.A.205,8.A.205
SCM17177,8.A.205.1,8.A.205.1,0.9972391,3160,8.A.205,8.A.205
XP_045182095,8.A.206.1,8.A.206.1,0.99983025,3164,8.A.206,8.A.206
XP_033734125,8.A.208.1,8.A.208.1,0.9990984,3172,8.A.208,8.A.208
XP_048394075,8.A.208.1,8.A.208.1,0.9998215,3173,8.A.208,8.A.208
Q9VKM7,8.A.209.1,8.A.209.1,0.9994942,3175,8.A.209,8.A.209
RHY26985,8.A.210.1,8.A.210.1,0.9379585,3179,8.A.210,8.A.210
XP_031323901,8.A.211.1,8.A.211.1,0.9999926,3182,8.A.211,8.A.211
WP_196367168,8.A.212.1,8.A.212.1,0.99998105,3186,8.A.212,8.A.212
MAH74360,8.A.213.1,8.A.213.1,0.9997161,3191,8.A.213,8.A.213
MBL4747290,8.A.213.1,8.A.213.1,0.9999608,3192,8.A.213,8.A.213
XP_028399918,8.A.214.1,8.A.214.1,0.9998791,3197,8.A.214,8.A.214
XP_035489110,8.A.215.1,8.A.215.1,0.9991967,3200,8.A.215,8.A.215
KAJ3260049,8.A.216.1,8.A.216.1,0.9996939,3205,8.A.216,8.A.216
P38736,8.A.216.1,8.A.216.1,0.99972516,3206,8.A.216,8.A.216
O00305,8.A.22.1,8.A.22.1,0.99770194,3210,8.A.22,8.A.22
EKF99199,8.A.221.1,8.A.221.1,0.99955493,3218,8.A.221,8.A.221
TFJ87285,8.A.221.1,8.A.221.1,0.999907,3219,8.A.221,8.A.221
P42858,8.A.222.1,8.A.222.1,1.0,3220,8.A.222,8.A.222
AAG25642,8.A.223.1,8.A.223.1,0.99998987,3224,8.A.223,8.A.223
KAG7342390,8.A.225.1,8.A.225.1,0.99998736,3228,8.A.225,8.A.225
KAI6194636,8.A.226.1,8.A.226.1,0.9992113,3233,8.A.226,8.A.226
NP_651733,8.A.226.1,8.A.226.1,0.9999449,3234,8.A.226,8.A.226
GFO46191,8.A.227.1,8.A.227.1,0.99991393,3241,8.A.227,8.A.227
KAI8730524,8.A.227.1,8.A.227.1,0.9997906,3242,8.A.227,8.A.227
WP_076222359,8.A.228.1,8.A.228.1,0.9994116,3244,8.A.228,8.A.228
RAS33480,8.A.229.1,8.A.229.1,0.9999894,3246,8.A.229,8.A.229
