Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,True_Family,Predicted_Family
Q9FLV9,2.A.16.5,2.A.16.5,0.99867624,2141,2.A.16,2.A.16
WP_057757662,2.A.16.6,2.A.16.6,0.9932801,2144,2.A.16,2.A.16
P0A2F9,2.A.24.1,2.A.24.2,0.76090974,2146,2.A.24,2.A.24
Q8VS41,2.A.24.2,2.A.24.2,0.8721835,2151,2.A.24,2.A.24
Q48769,2.A.24.3,2.A.24.3,0.99999607,2153,2.A.24,2.A.24
W0WFC6,2.A.25.1,2.A.25.1,0.9988244,2162,2.A.25,2.A.25
P30143,2.A.25.1,2.A.25.1,0.9985833,2163,2.A.25,2.A.25
F2HK99,2.A.26.1,2.A.26.1,0.9997625,2172,2.A.26,2.A.26
P0AD99,2.A.26.1,2.A.26.1,0.9992101,2173,2.A.26,2.A.26
K0J2V5,2.A.27.1,2.A.27.1,0.9649486,2178,2.A.27,2.A.27
M1QJN9,2.A.27.2,2.A.27.1,0.9949705,2180,2.A.27,2.A.27
Q9S1X8,2.A.33.1,2.A.33.1,0.9996921,2186,2.A.33,2.A.33
XP_003075324,2.A.33.1,2.A.33.1,0.9999522,2187,2.A.33,2.A.33
Q9I2S5,2.A.34.1,2.A.34.1,0.9999685,2190,2.A.34,2.A.34
Q8A897,2.A.35.1,2.A.35.1,0.631138,2198,2.A.35,2.A.35
T1YBZ7,2.A.35.1,2.A.35.1,0.60159546,2199,2.A.35,2.A.35
Q838P8,2.A.35.2,2.A.35.2,0.6625729,2203,2.A.35,2.A.35
P42312,2.A.41.1,2.A.41.1,0.86279005,2206,2.A.41,2.A.41
Q9KPL5,2.A.41.2,2.A.41.1,0.85241073,2217,2.A.41,2.A.41
A1Z7N3,2.A.41.2,2.A.41.2,0.9898782,2218,2.A.41,2.A.41
O00337,2.A.41.2,2.A.41.2,0.9888466,2219,2.A.41,2.A.41
F0LJG4,2.A.42.1,2.A.42.1,0.7091425,2226,2.A.42,2.A.42
AKM78056,2.A.42.1,2.A.42.1,0.9490095,2227,2.A.42,2.A.42
P63340,2.A.42.2,2.A.42.1,0.7152265,2232,2.A.42,2.A.42
WP_078436298,2.A.45.1,2.A.45.2,0.57832205,2234,2.A.45,2.A.45
XP_015614851,2.A.45.2,2.A.45.2,0.9035728,2241,2.A.45,2.A.45
UYL04267,2.A.45.2,2.A.45.2,0.82664,2242,2.A.45,2.A.45
A1SPN6,2.A.45.3,2.A.45.2,0.8084718,2244,2.A.45,2.A.45
P76103,2.A.46.1,2.A.46.1,0.99832624,2253,2.A.46,2.A.46
Q88I34,2.A.46.1,8.B.28.2,0.16565727,2254,2.A.46,8.B.28
7TAK_A,2.A.46.1,2.A.46.1,0.99923396,2255,2.A.46,2.A.46
A8BIM9,2.A.48.1,2.A.48.1,0.9999387,2261,2.A.48,2.A.48
O45166,2.A.48.1,2.A.48.1,0.99969125,2262,2.A.48,2.A.48
Q7S3L8,2.A.52.1,2.A.52.1,0.82048345,2270,2.A.52,2.A.52
R1EDF9,2.A.52.1,2.A.52.2,0.64981276,2271,2.A.52,2.A.52
C7PI41,2.A.52.2,8.B.28.2,0.1570594,2276,2.A.52,8.B.28
Q7NN80,2.A.52.2,8.B.28.2,0.1609793,2277,2.A.52,8.B.28
SFO07861,2.A.58.1,2.A.58.2,0.9279101,2285,2.A.58,2.A.58
R4VUJ8,2.A.58.1,2.A.58.1,0.6442291,2286,2.A.58,2.A.58
Q0W3W9,2.A.58.2,2.A.58.2,0.70816594,2292,2.A.58,2.A.58
RLG13389,2.A.58.2,2.A.58.2,0.6054032,2293,2.A.58,2.A.58
A5KHL1,2.A.61.1,8.B.28.2,0.16139247,2297,2.A.61,8.B.28
C0QDE6,2.A.61.2,2.A.61.2,0.9999299,2301,2.A.61,2.A.61
A5F120,2.A.62.1,2.A.62.1,0.9994128,2307,2.A.62,2.A.62
WP_020086767,2.A.62.1,2.A.62.1,0.99956316,2308,2.A.62,2.A.62
Q183S2,2.A.68.1,2.A.68.1,0.9993622,2313,2.A.68,2.A.68
A8WCI8,2.A.71.1,2.A.71.1,0.9098296,2318,2.A.71,2.A.71
V5B8W0,2.A.71.1,2.A.71.1,0.90930027,2319,2.A.71,2.A.71
Q9XIQ7,2.A.71.2,2.A.71.1,0.9234306,2325,2.A.71,2.A.71
Q8IBB7,2.A.71.2,2.A.71.2,0.9972145,2326,2.A.71,2.A.71
Q9CHU5,2.A.72.1,2.A.72.1,0.9999528,2329,2.A.72,2.A.72
Q0G848,2.A.72.2,2.A.72.3,0.70285136,2331,2.A.72,2.A.72
Q9FE38,2.A.72.3,2.A.72.3,0.99484164,2341,2.A.72,2.A.72
Q19A13,2.A.72.3,2.A.72.3,0.996765,2342,2.A.72,2.A.72
O49423,2.A.72.3,2.A.72.3,0.99807477,2343,2.A.72,2.A.72
F8D4C5,2.A.73.1,2.A.73.1,0.9998323,2346,2.A.73,2.A.73
M7BP63,2.A.74.1,2.A.74.2,0.84360236,2352,2.A.74,2.A.74
XP_015987553,2.A.74.1,2.A.74.1,0.6129754,2353,2.A.74,2.A.74
C3XYE5,2.A.74.2,2.A.74.1,0.94758844,2361,2.A.74,2.A.74
E2B9N7,2.A.74.2,2.A.74.2,0.8119279,2362,2.A.74,2.A.74
B5U2Z3,2.A.75.1,2.A.75.1,0.9999887,2366,2.A.75,2.A.75
D5FKJ1,2.A.76.1,2.A.76.1,0.9263937,2377,2.A.76,2.A.76
AKM77924,2.A.76.1,2.A.76.1,0.9922718,2378,2.A.76,2.A.76
KKK40645,2.A.76.1,2.A.76.3,0.9995726,2379,2.A.76,2.A.76
V9RYY0,2.A.76.2,2.A.76.1,0.98086035,2382,2.A.76,2.A.76
A3U6A7,2.A.76.3,2.A.76.3,0.99999845,2383,2.A.76,2.A.76
Q3IPU1,2.A.77.1,2.A.77.1,0.99918026,2388,2.A.77,2.A.77
Q8RFA1,2.A.8.1,2.A.8.1,0.9987379,2401,2.A.8,2.A.8
Q81E21,2.A.8.1,2.A.8.1,0.9994753,2402,2.A.8,2.A.8
H7C6B2,2.A.8.1,2.A.8.1,0.99991524,2403,2.A.8,2.A.8
B7L824,2.A.81.1,2.A.81.2,0.62768424,2408,2.A.81,2.A.81
Q845W9,2.A.81.1,2.A.81.1,0.897806,2409,2.A.81,2.A.81
A6LP55,2.A.81.2,2.A.81.2,0.5238861,2411,2.A.81,2.A.81
P73953,2.A.83.1,2.A.83.2,0.60078555,2412,2.A.83,2.A.83
A9DHE6,2.A.83.2,2.A.83.2,0.6030478,2413,2.A.83,2.A.83
Q8Y5W0,2.A.87.1,2.A.87.1,0.7058279,2417,2.A.87,2.A.87
F9LXW4,2.A.87.2,2.A.87.3,0.9994351,2419,2.A.87,2.A.87
A9NEB8,2.A.87.3,2.A.87.3,0.9396657,2422,2.A.87,2.A.87
Q14P12,2.A.87.4,2.A.87.2,0.33179867,2425,2.A.87,2.A.87
AFN04413,2.A.87.5,2.A.87.4,0.5116218,2428,2.A.87,2.A.87
Q54IJ2,2.A.92.1,2.A.92.1,0.99977344,2437,2.A.92,2.A.92
Q94AN2,2.A.92.1,2.A.92.1,0.9998815,2438,2.A.92,2.A.92
Q9UBH6,2.A.94.1,2.A.94.1,0.99978477,2444,2.A.94,2.A.94
P16151,2.A.94.1,2.A.94.1,0.99940825,2445,2.A.94,2.A.94
P25743,2.A.95.1,8.B.28.2,0.16330902,2452,2.A.95,8.B.28
B8HLY6,2.A.95.1,2.A.95.1,0.9999752,2453,2.A.95,2.A.95
KAG2233815,2.A.96.1,2.A.96.1,0.5488722,2465,2.A.96,2.A.96
WP_084729956,2.A.96.1,2.A.96.2,0.5392515,2466,2.A.96,2.A.96
NLT21186,2.A.96.1,2.A.96.1,0.99468756,2467,2.A.96,2.A.96
KXS96282,2.A.96.2,2.A.96.1,0.66802835,2470,2.A.96,2.A.96
Q6P1Q0,2.A.97.1,2.A.97.1,0.99989593,2477,2.A.97,2.A.97
Q8I1R5,2.A.97.1,2.A.97.1,0.9999088,2478,2.A.97,2.A.97
WP_162301253,2.A.99.1,2.A.99.1,0.9993419,2485,2.A.99,2.A.99
WP_149777770,2.A.99.1,2.A.99.1,0.9996425,2486,2.A.99,2.A.99
Q9UP52,2.B.93.1,2.B.93.1,0.9407553,2488,2.B.93,2.B.93
A0BM91,2.D.1.1,2.D.1.1,0.9998753,2496,2.D.1,2.D.1
Q9VC05,2.D.1.1,2.D.1.1,0.9998399,2497,2.D.1,2.D.1
C0SP86,3.A.12.1,3.A.12.1,0.94639516,2502,3.A.12,3.A.12
P22409,3.A.12.2,3.A.12.2,0.9897249,2503,3.A.12,3.A.12
Q3LAJ2,3.A.12.3,3.A.12.2,0.9807715,2505,3.A.12,3.A.12
YP_008130281,3.A.13.1,3.A.13.1,0.9999609,2508,3.A.13,3.A.13
Q9Y276,3.A.28.1,3.A.28.1,0.9999932,2513,3.A.28,3.A.28
KOO28456,3.E.3.1,3.E.3.1,0.99969196,2522,3.E.3,3.E.3
WP_055898914,3.E.3.1,3.E.3.1,0.9991572,2523,3.E.3,3.E.3
P50416,4.C.2.1,4.C.2.1,0.9999918,2526,4.C.2,4.C.2
S7VV85,4.E.1.1,4.E.1.1,0.99996877,2531,4.E.1,4.E.1
Q5CWX6,4.E.1.1,4.E.1.1,0.9997067,2532,4.E.1,4.E.1
K0WKG7,4.F.1.1,4.F.1.3,0.9377198,2540,4.F.1,4.F.1
TAJ02730,4.F.1.1,4.F.1.1,0.5526839,2541,4.F.1,4.F.1
G5SQC7,4.F.1.2,4.F.1.1,0.81798005,2543,4.F.1,4.F.1
OIO15329,4.F.1.3,4.F.1.1,0.8303209,2548,4.F.1,4.F.1
WP_051595943,4.H.1.1,4.H.1.1,0.9987204,2555,4.H.1,4.H.1
RIJ99294,4.H.1.1,4.H.1.1,0.9986507,2556,4.H.1,4.H.1
VDG77260,4.H.1.2,4.H.1.2,0.99966824,2560,4.H.1,4.H.1
Q9KV73,5.B.10.1,5.B.10.1,0.9999995,2561,5.B.10,5.B.10
RWX50390,5.B.15.1,5.B.15.1,0.99999976,2562,5.B.15,5.B.15
Q5D8X4,5.B.2.1,5.B.2.1,0.99125844,2569,5.B.2,5.B.2
Q9SWS1,5.B.2.1,5.B.2.1,0.7944563,2570,5.B.2,5.B.2
A8IUR9,5.B.2.2,5.B.2.3,0.63811743,2575,5.B.2,5.B.2
Q9SV71,5.B.2.2,5.B.2.3,0.5369073,2576,5.B.2,5.B.2
KHN35905,5.B.2.3,5.B.2.1,0.57831186,2581,5.B.2,5.B.2
PIY59600,5.B.6.1,5.B.6.1,0.99960226,2586,5.B.6,5.B.6
Q8XB73,5.B.7.1,5.B.7.1,0.9938607,2587,5.B.7,5.B.7
Q7NNK2,5.B.7.2,5.B.7.2,0.6725365,2588,5.B.7,5.B.7
F8L6Z5,5.B.7.3,5.B.7.3,0.92502904,2589,5.B.7,5.B.7
D7C9K8,5.B.7.4,5.B.7.2,0.62774056,2590,5.B.7,5.B.7
P37683,8.A.1.1,8.A.1.1,0.8184498,2594,8.A.1,8.A.1
M4VE83,8.A.1.2,8.A.1.4,0.4847139,2596,8.A.1,8.A.1
OUT43425,8.A.1.3,8.A.1.3,0.57919127,2602,8.A.1,8.A.1
BAB77003,8.A.1.3,8.A.1.3,0.7122556,2603,8.A.1,8.A.1
P36498,8.A.1.4,8.A.1.3,0.5281411,2605,8.A.1,8.A.1
Q9XDR9,8.A.1.5,8.A.1.5,0.99992526,2606,8.A.1,8.A.1
Q7UZ72,8.A.1.6,8.A.1.6,0.99377716,2610,8.A.1,8.A.1
P46482,8.A.1.7,8.A.1.1,0.5984277,2611,8.A.1,8.A.1
Q6FHJ6,8.A.10.1,8.A.10.1,0.88042015,2613,8.A.10,8.A.10
Q9D808,8.A.10.2,8.A.10.2,0.77703506,2614,8.A.10,8.A.10
Q9Y6H6,8.A.10.3,8.A.10.3,0.5965532,2617,8.A.10,8.A.10
Q9WTW3,8.A.10.4,8.A.10.4,0.7648046,2618,8.A.10,8.A.10
XP_020894714,8.A.101.1,8.A.101.1,0.9998287,2622,8.A.101,8.A.101
Q16799,8.A.102.1,8.A.102.1,0.9809725,2631,8.A.102,8.A.102
V8NAX5,8.A.102.1,8.A.102.1,0.9863988,2632,8.A.102,8.A.102
CUV07185,8.A.102.2,8.A.102.2,0.98643863,2637,8.A.102,8.A.102
PJF17748,8.A.103.1,8.A.103.1,0.99838674,2649,8.A.103,8.A.103
XP_010699644,8.A.103.1,8.A.103.1,0.9997671,2650,8.A.103,8.A.103
Q22DV9,8.A.103.1,8.A.103.1,0.9959772,2651,8.A.103,8.A.103
P53355,8.A.104.1,8.B.28.2,0.16167726,2664,8.A.104,8.B.28
Q9BXM7,8.A.104.1,8.B.28.2,0.1553048,2665,8.A.104,8.B.28
NP_001257414,8.A.104.1,8.B.28.2,0.15680285,2666,8.A.104,8.B.28
Q6MZM0,8.A.105.1,8.A.105.1,0.9995951,2669,8.A.105,8.A.105
Q9H902,8.A.108.1,8.A.108.1,0.9997249,2677,8.A.108,8.A.108
Q96HR9,8.A.108.1,8.A.108.1,0.9999336,2678,8.A.108,8.A.108
WP_130079951,8.A.11.1,8.A.11.1,0.9999846,2681,8.A.11,8.A.11
CBJ48530,8.A.111.1,8.A.111.1,0.99943787,2689,8.A.111,8.A.111
XP_022310796,8.A.111.1,8.A.111.1,0.38134378,2690,8.A.111,8.A.111
Q8N682,8.A.113.1,8.A.113.1,0.99990785,2698,8.A.113,8.A.113
Q6UX65,8.A.113.1,8.A.113.1,0.99986804,2699,8.A.113,8.A.113
XP_026683869,8.A.115.1,8.A.115.1,0.20536946,2706,8.A.115,8.A.115
RNA30858,8.A.115.1,8.A.115.7,0.30225167,2707,8.A.115,8.A.115
XP_005822896,8.A.115.2,8.A.115.7,0.30517772,2710,8.A.115,8.A.115
WP_018930613,8.A.115.3,8.A.115.3,0.23903865,2711,8.A.115,8.A.115
OWB63767,8.A.115.4,8.A.115.4,0.31503114,2712,8.A.115,8.A.115
KAI8905181,8.A.115.5,8.A.115.1,0.6276709,2714,8.A.115,8.A.115
XP_001748139,8.A.115.6,8.A.115.1,0.23246695,2717,8.A.115,8.A.115
TPX40645,8.A.115.7,8.A.115.7,0.38288683,2718,8.A.115,8.A.115
WBW72430,8.A.115.8,8.A.115.1,0.23430829,2719,8.A.115,8.A.115
Q8NEW7,8.A.116.1,8.A.116.1,0.9417576,2721,8.A.116,8.A.116
Q9XXE7,8.A.116.2,8.A.116.2,0.99991095,2722,8.A.116,8.A.116
Q9VIM4,8.A.116.3,8.A.116.3,0.9942068,2723,8.A.116,8.A.116
Q9XTG1,8.A.117.1,8.A.117.1,0.9996872,2728,8.A.117,8.A.117
Q9NZ94,8.A.117.1,8.A.117.1,0.9998747,2729,8.A.117,8.A.117
GAV02799,8.A.118.1,8.A.118.1,0.9991246,2738,8.A.118,8.A.118
XP_019853507,8.A.118.1,8.A.118.1,0.9993718,2739,8.A.118,8.A.118
P37249,8.A.12.1,8.A.12.1,0.99988484,2741,8.A.12,8.A.12
WP_014802473,8.A.120.1,8.A.120.1,0.9999938,2746,8.A.120,8.A.120
NP_001154233,8.A.120.1,8.B.28.2,0.16057457,2747,8.A.120,8.B.28
Q9W145,8.A.120.2,8.A.120.2,0.99701536,2749,8.A.120,8.A.120
Q96DR4,8.A.120.3,8.A.120.3,0.9999999,2750,8.A.120,8.A.120
Q20687,8.A.121.1,8.A.121.1,0.99975854,2755,8.A.121,8.A.121
XP_004672840,8.A.122.1,8.A.122.1,0.98019904,2758,8.A.122,8.A.122
XP_022318076,8.A.122.2,8.A.122.1,0.91304445,2761,8.A.122,8.A.122
XP_001747355,8.A.123.1,8.A.123.1,0.99762493,2767,8.A.123,8.A.123
Q9NQ34,8.A.123.1,8.A.123.1,0.9993923,2768,8.A.123,8.A.123
WP_031585819,8.A.123.2,8.A.123.2,0.99993265,2769,8.A.123,8.A.123
P57088,8.A.124.1,8.A.124.1,0.9992053,2772,8.A.124,8.A.124
Q96KA5,8.A.125.1,8.A.125.1,0.9997892,2777,8.A.125,8.A.125
XP_027796271,8.A.126.1,8.A.126.1,0.9980515,2780,8.A.126,8.A.126
XP_020477270,8.A.127.1,8.A.127.2,0.55499434,2784,8.A.127,8.A.127
XP_030900971,8.A.127.2,8.A.127.2,0.53052765,2788,8.A.127,8.A.127
XP_013349430,8.A.129.1,8.A.129.1,0.9998092,2794,8.A.129,8.A.129
GBG75892,8.A.129.1,8.A.129.1,0.99989057,2795,8.A.129,8.A.129
O42668,8.A.13.1,8.A.13.1,1.0,2796,8.A.13,8.A.13
P83748,8.A.131.1,8.A.131.1,0.9974292,2809,8.A.131,8.A.131
P00738,8.A.131.1,8.A.131.1,0.99949765,2810,8.A.131,8.A.131
B0FXM1,8.A.131.1,8.A.131.1,0.997884,2811,8.A.131,8.A.131
Q9BUZ4,8.A.133.1,8.A.133.1,0.99153835,2822,8.A.133,8.A.133
WGW18136,8.A.133.1,8.B.28.2,0.14182657,2823,8.A.133,8.B.28
Q9C039,8.A.133.1,8.B.28.2,0.15964,2824,8.A.133,8.B.28
ORZ11951,8.A.134.1,8.A.134.1,0.9999211,2829,8.A.134,8.A.134
Q6IIF2,8.A.135.1,8.A.135.2,0.63106966,2832,8.A.135,8.A.135
MPD02914,8.A.135.2,8.A.135.2,0.92847735,2837,8.A.135,8.A.135
Q96B67,8.A.136.1,8.A.136.1,0.99912447,2848,8.A.136,8.A.136
Q9H3M7,8.A.136.1,8.A.136.1,0.99911696,2849,8.A.136,8.A.136
Q20232,8.A.136.1,8.A.136.1,0.7147458,2850,8.A.136,8.A.136
XP_016921581,8.A.139.1,8.A.139.2,0.53590477,2852,8.A.139,8.A.139
SMO36342,8.A.139.2,8.A.139.1,0.83691907,2854,8.A.139,8.A.139
Q9NPA1,8.A.14.1,8.A.14.1,0.9999294,2858,8.A.14,8.A.14
XP_004208589,8.A.140.1,8.A.140.2,0.503437,2862,8.A.140,8.A.140
KAF5277533,8.A.140.2,8.A.140.2,0.8585967,2864,8.A.140,8.A.140
R1ELF4,8.A.141.1,8.A.141.1,0.9999567,2869,8.A.141,8.A.141
Q6IEE7,8.A.143.1,8.A.143.1,0.99996924,2874,8.A.143,8.A.143
TNV81984,8.A.144.1,8.A.144.1,0.99958366,2878,8.A.144,8.A.144
WP_144051564,8.A.144.2,8.A.144.2,0.9999839,2879,8.A.144,8.A.144
KAF2077471,8.A.145.1,8.A.145.1,0.9999957,2884,8.A.145,8.A.145
P30041,8.A.147.1,8.A.147.1,0.9997172,2887,8.A.147,8.A.147
B8B381,8.A.15.1,8.B.28.2,0.15181439,2891,8.A.15,8.B.28
WP_008488490,8.A.150.1,8.A.150.1,0.9999757,2895,8.A.150,8.A.150
O43865,8.A.151.1,8.A.151.1,0.9999999,2896,8.A.151,8.A.151
WP_181340520,8.A.153.1,8.A.153.1,0.99984443,2901,8.A.153,8.A.153
MBC7395593,8.A.153.2,8.A.153.2,0.9996698,2902,8.A.153,8.A.153
XP_034038246,8.A.154.1,8.A.154.1,0.9931745,2907,8.A.154,8.A.154
WP_082825104,8.A.155.1,8.A.155.1,0.9999374,2912,8.A.155,8.A.155
KAF5827728,8.A.155.1,8.A.155.1,0.99975103,2913,8.A.155,8.A.155
XP_315963,8.A.157.1,8.A.157.1,0.6372645,2917,8.A.157,8.A.157
XP_018009461,8.A.157.2,8.A.157.1,0.6370817,2918,8.A.157,8.A.157
P90489,8.A.159.1,8.A.159.3,0.59217143,2926,8.A.159,8.A.159
O60337,8.A.159.1,8.A.159.1,0.68504417,2927,8.A.159,8.A.159
XP_032802017,8.A.159.2,8.B.28.2,0.15331928,2929,8.A.159,8.B.28
PWZ10394,8.A.159.3,8.A.159.3,0.8686571,2931,8.A.159,8.A.159
Q96GS6,8.A.161.1,8.A.161.1,0.99999905,2932,8.A.161,8.A.161
Q16790,8.A.164.1,8.A.164.1,0.9999821,2933,8.A.164,8.A.164
VDL89025,8.A.166.1,8.A.166.1,0.99943537,2943,8.A.166,8.A.166
CAF2143533,8.A.166.1,8.A.166.1,0.9999163,2944,8.A.166,8.A.166
XP_028411903,8.A.166.1,8.A.166.1,0.9999176,2945,8.A.166,8.A.166
XP_011530207,8.A.168.1,8.A.168.1,0.9998573,2949,8.A.168,8.A.168
GAW06118,8.A.169.1,8.A.169.1,0.9997676,2958,8.A.169,8.A.169
SSD60863,8.A.169.1,8.A.169.1,0.99923086,2959,8.A.169,8.A.169
XP_001229202,8.A.169.1,8.A.169.1,0.99865675,2960,8.A.169,8.A.169
Q07699,8.A.17.1,8.A.17.3,0.9969447,2964,8.A.17,8.A.17
P25189,8.A.17.2,8.A.17.4,0.43215653,2968,8.A.17,8.A.17
AAO89003,8.A.17.3,8.A.17.4,0.55121493,2973,8.A.17,8.A.17
Q15116,8.A.17.4,8.A.17.4,0.6112093,2974,8.A.17,8.A.17
Q9NXB0,8.A.170.1,8.A.170.1,0.9999989,2975,8.A.170,8.A.170
CAF0816190,8.A.171.1,8.A.171.1,0.9999734,2979,8.A.171,8.A.171
XP_036123603,8.A.172.1,8.B.28.2,0.16103224,2984,8.A.172,8.B.28
HHM12341,8.A.172.2,8.A.172.2,0.9982003,2989,8.A.172,8.A.172
WP_165159837,8.A.172.2,8.A.172.2,0.99939954,2990,8.A.172,8.A.172
Q9H4B7,8.A.173.1,8.A.173.1,0.9999875,2992,8.A.173,8.A.173
HFO91905,8.A.174.1,8.A.174.1,0.9999733,2997,8.A.174,8.A.174
MBT5252923,8.A.174.1,8.A.174.1,0.99972993,2998,8.A.174,8.A.174
KAF4354721,8.A.175.1,8.A.175.2,0.742676,3000,8.A.175,8.A.175
XP_020163427,8.A.175.2,8.A.175.2,0.89786613,3005,8.A.175,8.A.175
WP_054576892,8.A.176.1,8.A.176.1,0.9998827,3009,8.A.176,8.A.176
UQL51144,8.A.177.1,8.A.177.1,0.9998722,3017,8.A.177,8.A.177
P50591,8.A.177.1,8.A.177.1,0.9999207,3018,8.A.177,8.A.177
KAG6546873,8.A.178.1,8.A.178.1,0.9997011,3025,8.A.178,8.A.178
XP_013762242,8.A.178.1,1.C.132.1,0.99972457,3026,8.A.178,1.C.132
Q9NY47,8.A.18.1,8.A.18.3,0.56205624,3028,8.A.18,8.A.18
Q5VU97,8.A.18.2,8.A.18.3,0.6036928,3030,8.A.18,8.A.18
Q7Z3S7,8.A.18.3,8.A.18.3,0.5587338,3032,8.A.18,8.A.18
WP_165133333,8.A.180.1,8.A.180.1,0.9974655,3035,8.A.180,8.A.180
VZI44309,8.A.181.1,8.A.181.1,0.9999893,3039,8.A.181,8.A.181
KAH8130706,8.A.182.1,8.A.182.1,0.9999651,3042,8.A.182,8.A.182
PSC71052,8.A.183.1,8.A.183.1,0.99995303,3047,8.A.183,8.A.183
ETW46879,8.A.183.1,8.A.183.1,0.9995065,3048,8.A.183,8.A.183
XP_020432384,8.A.185.1,8.A.185.1,0.99984276,3054,8.A.185,8.A.185
L0R6Q1,8.A.185.1,8.A.185.1,0.9999628,3055,8.A.185,8.A.185
O00592,8.A.187.1,8.A.187.1,1.0,3056,8.A.187,8.A.187
XP_001748040,8.A.188.1,8.A.188.1,0.9964162,3065,8.A.188,8.A.188
OMJ82451,8.A.188.1,8.A.188.1,0.99997044,3066,8.A.188,8.A.188
THD25096,8.A.189.1,8.A.189.1,0.9996716,3070,8.A.189,8.A.189
KJE94133,8.A.189.2,8.A.189.2,0.99999976,3071,8.A.189,8.A.189
Q4V5U6,8.A.19.1,8.A.19.1,0.99365294,3076,8.A.19,8.A.19
QID84842,8.A.190.1,8.A.190.1,0.99980253,3080,8.A.190,8.A.190
RMZ54818,8.A.191.1,8.A.191.1,0.99968016,3088,8.A.191,8.A.191
PXF60217,8.A.191.1,8.A.191.1,0.998264,3089,8.A.191,8.A.191
WP_224341048,8.A.192.1,8.A.192.1,0.99933296,3094,8.A.192,8.A.192
P25491,8.A.192.1,8.A.192.1,0.999432,3095,8.A.192,8.A.192
F4IVL6,8.A.192.2,8.A.192.2,0.999577,3099,8.A.192,8.A.192
KAG8010605,8.A.193.1,8.A.193.1,0.999961,3103,8.A.193,8.A.193
XP_029997346,8.A.194.1,8.B.28.2,0.14729808,3110,8.A.194,8.B.28
KAG2487039,8.A.194.1,8.A.194.1,0.9999778,3111,8.A.194,8.A.194
XP_031756194,8.A.196.1,8.A.196.1,0.9998254,3116,8.A.196,8.A.196
CDW53771,8.A.197.1,8.A.197.1,0.9994399,3120,8.A.197,8.A.197
P0AA95,8.A.2.1,8.A.2.1,0.9999316,3123,8.A.2,8.A.2
GBF99282,8.A.20.1,8.A.20.1,0.8154062,3126,8.A.20,8.A.20
KAF5839021,8.A.20.2,8.A.20.1,0.773986,3128,8.A.20,8.A.20
XP_005646384,8.A.20.3,8.A.20.1,0.8343406,3130,8.A.20,8.A.20
TMD93600,8.A.201.1,8.A.201.1,0.6592076,3135,8.A.201,8.A.201
MBS4889330,8.A.201.2,8.A.201.2,0.9857379,3140,8.A.201,8.A.201
TWW75268,8.A.202.1,8.A.202.1,0.9999541,3145,8.A.202,8.A.202
Q6PD74,8.A.203.1,8.A.203.1,0.9999993,3146,8.A.203,8.A.203
NP_001336488,8.A.204.1,8.A.204.1,0.999521,3152,8.A.204,8.A.204
P32926,8.A.204.1,8.A.204.1,0.9991447,3153,8.A.204,8.A.204
OLP90965,8.A.205.1,8.A.205.1,0.9999392,3159,8.A.205,8.A.205
SCM17177,8.A.205.1,8.A.205.1,0.99728787,3160,8.A.205,8.A.205
XP_045182095,8.A.206.1,8.A.206.1,0.99962556,3164,8.A.206,8.A.206
XP_033734125,8.A.208.1,8.A.208.1,0.99889743,3172,8.A.208,8.A.208
XP_048394075,8.A.208.1,8.A.208.1,0.9996644,3173,8.A.208,8.A.208
Q9VKM7,8.A.209.1,8.A.209.1,0.99986887,3175,8.A.209,8.A.209
RHY26985,8.A.210.1,8.A.210.1,0.7806517,3179,8.A.210,8.A.210
XP_031323901,8.A.211.1,8.A.211.1,0.99996936,3182,8.A.211,8.A.211
WP_196367168,8.A.212.1,8.A.212.1,0.999987,3186,8.A.212,8.A.212
MAH74360,8.A.213.1,8.A.213.1,0.99920976,3191,8.A.213,8.A.213
MBL4747290,8.A.213.1,8.A.213.1,0.9999442,3192,8.A.213,8.A.213
XP_028399918,8.A.214.1,8.A.214.1,0.99975675,3197,8.A.214,8.A.214
XP_035489110,8.A.215.1,8.A.215.1,0.99628085,3200,8.A.215,8.A.215
KAJ3260049,8.A.216.1,8.A.216.1,0.9997032,3205,8.A.216,8.A.216
P38736,8.A.216.1,8.A.216.1,0.9997296,3206,8.A.216,8.A.216
O00305,8.A.22.1,8.A.22.1,0.9403908,3210,8.A.22,8.A.22
EKF99199,8.A.221.1,8.A.221.1,0.9991241,3218,8.A.221,8.A.221
TFJ87285,8.A.221.1,8.A.221.1,0.99993336,3219,8.A.221,8.A.221
P42858,8.A.222.1,8.A.222.1,0.9999999,3220,8.A.222,8.A.222
AAG25642,8.A.223.1,8.A.223.1,0.9999851,3224,8.A.223,8.A.223
KAG7342390,8.A.225.1,8.A.225.1,0.9999156,3228,8.A.225,8.A.225
KAI6194636,8.A.226.1,8.A.226.1,0.99854624,3233,8.A.226,8.A.226
NP_651733,8.A.226.1,8.A.226.1,0.999972,3234,8.A.226,8.A.226
GFO46191,8.A.227.1,8.A.227.1,0.9994456,3241,8.A.227,8.A.227
KAI8730524,8.A.227.1,8.A.227.1,0.99980146,3242,8.A.227,8.A.227
WP_076222359,8.A.228.1,8.A.228.1,0.9990312,3244,8.A.228,8.A.228
RAS33480,8.A.229.1,8.A.229.1,0.999928,3246,8.A.229,8.A.229
